Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Contact No_createcustomer-customerreg_0f8d35""), ""region"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:30:43,2023-09-29 07:30:44,0.748s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Region_createcustomer-customerregiste_b1824f""), ""province"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:30:44,2023-09-29 07:30:45,0.738s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Province_createcustomer-customerregis_1acb6e""), """")",Chrome 117.0.0.0,,,2023-09-29 07:30:45,2023-09-29 07:30:46,0.681s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/input_Province_createcustomer-customerregis_1acb6e""))",Chrome 117.0.0.0,,,2023-09-29 07:30:46,2023-09-29 07:30:46,0.486s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_JNE Express""))",Chrome 117.0.0.0,,,2023-09-29 07:30:46,2023-09-29 07:30:47,0.584s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Term Of Payment""))",Chrome 117.0.0.0,,,2023-09-29 07:30:47,2023-09-29 07:30:47,0.484s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_NET0""))",Chrome 117.0.0.0,,,2023-09-29 07:30:47,2023-09-29 07:30:48,0.509s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_Submit""))",Chrome 117.0.0.0,,,2023-09-29 07:30:48,2023-09-29 07:30:49,1.136s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_Yes""))",Chrome 117.0.0.0,,,2023-09-29 07:30:49,2023-09-29 07:31:20,31.454s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/div_Mohon Isi Customer ID Terlebih Dahulu""))",Chrome 117.0.0.0,,,2023-09-29 07:31:20,2023-09-29 07:31:21,0.553s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/img_concat(id(, , -img-snackbar, , ))_-img-_6a7c1a""))",Chrome 117.0.0.0,,,2023-09-29 07:31:21,2023-09-29 07:31:21,0.341s,PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-09-29 07:31:21,2023-09-29 07:31:22,0.783s,PASSED
Video,Chrome 117.0.0.0,,,2023-09-29 07:31:24,2023-09-29 07:31:24,0.000s,PASSED
,,,,,,,
Test Cases/Functionality/negative-testcase2/regist new cust but empty PIC,Chrome 117.0.0.0,,,2023-09-29 07:32:40,2023-09-29 07:33:55,1m - 14.528s,PASSED
randomText = RandomStringUtils.randomAlphanumeric(5),Chrome 117.0.0.0,,,2023-09-29 07:32:40,2023-09-29 07:32:40,0.001s,PASSED
randomNum = RandomStringUtils.randomNumeric(5),Chrome 117.0.0.0,,,2023-09-29 07:32:40,2023-09-29 07:32:40,0.001s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-09-29 07:32:40,2023-09-29 07:32:42,1.964s,PASSED
"navigateToUrl(""https://sandbox.product.prieds.com/"")",Chrome 117.0.0.0,,,2023-09-29 07:32:42,2023-09-29 07:33:09,27.283s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Sign In_username""), ""testingwmslite2"")",Chrome 117.0.0.0,,,2023-09-29 07:33:09,2023-09-29 07:33:10,0.734s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Prieds Technology/input_IDUsername_password""), ""U8NeUUalMC6sqe9eTsnb2g=="")",Chrome 117.0.0.0,,,2023-09-29 07:33:10,2023-09-29 07:33:11,0.527s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_Login""))",Chrome 117.0.0.0,,,2023-09-29 07:33:11,2023-09-29 07:33:11,0.391s,PASSED
